video_id,author,comment,like_count,published,comment_clean,comment_normalized
At9u_bDYIe0,@kateno7307,hgu di berikan ke perusahaan rakyatmu makan apa pak,0,2025-11-12T06:47:11Z,hgu di berikan ke perusahaan rakyatmu makan apa pak,hgu berikan perusahaan rakyatmu makan apa pak
At9u_bDYIe0,@bumas4937,Menyala p Purbaya....baarokallah jabatannya dunia akherat,0,2025-11-12T05:47:19Z,Menyala p Purbaya baarokallah jabatannya dunia akherat,menyala purbaya baarokallah jabatannya dunia akherat
At9u_bDYIe0,@abdulkhair1696,Allahumma sholli Ala Sayyidina Muhammad waala Ali Sayyidina Muhammad,0,2025-11-12T01:02:56Z,Allahumma sholli Ala Sayyidina Muhammad waala Ali Sayyidina Muhammad,allahumma sholli ala sayyidina muhammad waala ali sayyidina muhammad
At9u_bDYIe0,@EdiHariyanto-c8r,Paling cerdas cuman .hukuman mati saja sederhana toh kita export tahanan hukuman mati ke negri tirai bambu saja toh belakang hari keuntungan NKRI melesat seperti rudal IRAN pemusnah Isriwil bro.,0,2025-11-11T10:41:24Z,Paling cerdas cuman hukuman mati saja sederhana toh kita export tahanan hukuman mati ke negri tirai bambu saja toh belakang hari keuntungan NKRI melesat seperti rudal IRAN pemusnah Isriwil bro,pale cerda cuman hukuman mati sederhana toh export tahanan hukuman mati negri tirai bambu toh belakang hari keuntungan nkri melesat seperti rudal iran pemusnah isriwil bro
At9u_bDYIe0,@Djauhari0957,"Gila 👿👿👎👎😾 pembiaran, sekarang waktunya Pak. Presiden RI yg berani sikat 😮😮",0,2025-11-11T08:55:26Z,Gila pembiaran sekarang waktunya Pak Presiden RI yg berani sikat,gila pembiaran sekarang waktunya pak presiden berani sikat
At9u_bDYIe0,@Djauhari0957,"Sikaaatt wowwww Rp. 10.000 T... . Duit mestinya hak rakyat
Mantap pak. Menkeu ❤❤",0,2025-11-11T08:53:23Z,Sikaaatt wo Rp 10 000 T Duit mestinya hak rakyat Mantap pak Menkeu,sikaaatt duit mestinya hak rakyat mantap pak menkeu
At9u_bDYIe0,@fitra7645,Pemerintah prabowo subianto gibran good punya mentri purbaya yudhi sadewa very good semoga Ada purbaya yudhi sadewa 100 indonesia makin jaya,0,2025-11-11T08:26:30Z,Pemerintah prabowo subianto gibran good punya mentri purbaya yudhi sadewa very good semoga Ada purbaya yudhi sadewa 100 indonesia makin jaya,pemerintah prabowo subianto gibran good punya mentri purbaya yudhi sadewa veri good semoga purbaya yudhi sadewa indonesia makin jaya
At9u_bDYIe0,@fitra7645,"Mantap menkeu purbaya yudhi sadewa good bless you pak,gas poll pak dukung 👍👍👍👍👍",0,2025-11-11T08:23:17Z,Mantap menkeu purbaya yudhi sadewa good bless you pak gas poll pak dukung,mantap menkeu purbaya yudhi sadewa good bless pak ga poll pak dukung
At9u_bDYIe0,@parmanlumbansiantar5580,"Negara maju,rakyat makmur terletak pd presiden, berani ,jujur,transparan,tegas, rakyat akan dukung prabowo.",0,2025-11-11T05:28:06Z,Negara maju rakyat makmur terletak pd presiden berani jujur transparan tegas rakyat akan dukung prabowo,negara maju rakyat makmur terletak presiden berani jujur transparan tega rakyat dukung prabowo
At9u_bDYIe0,@RimisnarBa,"Semoga Pak Purbaya Yudhi Sadewa Sehat Wal Afiat Panjang Umur dan Selalu Dalam Lindungan Allah SWT, Aamiin Yaa Robbal Aalamiin 🤲🤲🤲",0,2025-11-10T23:47:17Z,Semoga Pak Purbaya Yudhi Sadewa Sehat Wal Afiat Panjang Umur dan Selalu Dalam Lindungan Allah SWT Aamiin Yaa Robbal Aalamiin,semoga pak purbaya yudhi sadewa sehat wal afiat panjang umur selalu lindungan allah swt aamiin yaa robbal aalamiin
