video_id,author,comment,like_count,published
At9u_bDYIe0,@UparSibarani,"Tambang seenaknya saja beroperasi, Rakyat gali tanah urug dituntut harus punya sertifikat GALIAN ""C'. BIAYA buat 2rts JT rph. Durasi 2thn???",0,2025-11-05T09:13:09Z
At9u_bDYIe0,@tatangpermana6101,Jangan keroyo menteri Purbaya .....bela purbaya ....asset masyarakat Indonesia,0,2025-11-05T04:42:59Z
At9u_bDYIe0,@tatangpermana6101,Menteri purbaya  asset masyarakat/rakyat dan negara Indonesia ....save purbaya,0,2025-11-05T04:41:10Z
At9u_bDYIe0,@tatangpermana6101,Presiden Prabowo Subianto jgn pasang badan  dalam kasus whooosh ....tegakan hukum  se adil adil nya ......jgn copott taring  menteri purbaya,0,2025-11-05T04:40:01Z
At9u_bDYIe0,@budipranoto7489,"SARAN saja HAL yg BERANI dari PRESIDEN hendaknya juga diLAKUKAN dgn REFORMASI di BIDANG PENEGAKAN HUKUMnya dgn MENGGANTI/MEMPESIUNKAN semua TINGKAT JABATAN PENTING di KEPOLISIAN, KEHIKIMAN, BPK dan KEJAKSAAN. Ganti yg FRESH dari AKADEMInya masing2 dgn TANDA TANGSN KONTRAK KERJA yg jelas, tegas dan profesional.",0,2025-11-05T03:46:49Z
At9u_bDYIe0,@GitoGitojoyo,"Sang presiden , tolong  cari bp seperti ini 9lagi pak  terus seperti p,Amran  hrs ditambah 9 lagi  pak prabowo , pak jaksa agung ,9 lagi pak , indonesia siap maju pesat 1th lagi past ada hasilnya ndak usah 5th. Menunggu , siap 🙏",0,2025-11-05T02:45:17Z
At9u_bDYIe0,@LaluNursaid-l4f5n,Mudahan target Purbaya eko tumbuh 8%,0,2025-11-05T01:47:17Z
At9u_bDYIe0,@elisolihat2904,"Terus bongkar Pa Menkeu ini penting untuk Rakyat dan negara , semoga di mudahkan",0,2025-11-05T00:31:17Z
At9u_bDYIe0,@WandiJamil-s7b,"Presiden harus punya keberanian untuk mengamputasi anggota tubuh nya.untuk menjalani hidup sehat , anggota tubuh myang hilang bisa di ganti dengan imitasi yang menyerupai aslinya.
Dibanding dengan tubuh utuh akan tetapi merasakan sakit dan tidak bisa berkarya untuk kesejahteraan bangsa.l",0,2025-11-04T23:57:01Z
At9u_bDYIe0,@abrohamabroham2190,Omon omon doang...,0,2025-11-04T23:30:14Z
At9u_bDYIe0,@albais2475,"Mental pegawai sudah Rusak dan lindungi Menkeu lama  , sekarang Menkeu  memekak Hukum lurus dan baik  Rakyat Indonesia dukung bersama.",0,2025-11-04T23:07:56Z
At9u_bDYIe0,@vincensiusmarbun3750,Bahasanya jelas.mudah dimengerti,0,2025-11-04T13:59:26Z
At9u_bDYIe0,@dinnuriduasatu6302,"Bismillah 
Allah melindungi beliau Bapak Purbaya Yudhi Sadewa dari orang orang jahat di NKRI ini .
Dinnuri yakin insya Allah rakyat Indonesia banyak yang berdo'a untuk beliau bapak Purbaya Yudhi Sadewa, tetap semangat membongkar kebohongan dan Tidak kejujuran Yang dipelihara semenjak saya tau 1985 sampai sekarang ini.
Allahumma Sholli'alla Sayidina Muhammad Waallaaliihi sayyidina Muhammad",1,2025-11-04T12:58:08Z
At9u_bDYIe0,@KusKuswara-w6t,"Purabaya  pemberani  melawan arus yang  sangat dahsyat  yak sudah menjadi budaya  koruptor   R I  ini,",0,2025-11-04T09:53:52Z
At9u_bDYIe0,@AhmadiJgy,"Pak prabowo realisasikan memilih Menteri yg punya moral terbaik s/d jajaran dirjen anak2 bangsa terbaik yg punya kemampuan mewujudkan pembangunan ekonomi bangsa, perbaiki Sistem menyeluruh dijajaran. Kementerian sampai ke daerah, dng menempatkan pengawasan scr efektive. Spy sasaran n tujuan dpt diwujudkan dng baik, kebocoran dpt ditekan. Termasuk yg menjadi pemikiran dlm diskusi ini ❤",0,2025-11-04T06:04:03Z
